symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
PPC,2017-09-01,29.510000,29.860000,False,29.440000,29.440000,reg,1305024
PPC,2017-09-05,28.530000,29.500000,False,28.350000,29.430000,reg,2249460
PPC,2017-09-06,28.740000,28.820000,False,28.355000,28.670000,reg,1530506
PPC,2017-09-07,29.030000,29.140000,False,28.640000,28.730000,reg,1192577
PPC,2017-09-08,29.100000,29.175000,False,28.730000,29.010000,reg,839295
PPC,2017-09-11,28.170000,29.389000,False,27.350000,29.130000,reg,2384504
PPC,2017-09-12,28.990000,29.060000,False,27.900000,28.220000,reg,1506886
PPC,2017-09-13,28.950000,29.320000,False,28.890000,28.930000,reg,769950
PPC,2017-09-14,28.710000,29.090000,False,28.660000,28.830000,reg,898162
PPC,2017-09-15,29.560000,29.655000,False,28.700000,28.790000,reg,1784865
PPC,2017-09-18,29.540000,29.779900,False,29.385000,29.750000,reg,1090131
PPC,2017-09-19,28.910000,29.420000,False,28.470100,29.420000,reg,1290987
PPC,2017-09-20,29.030000,29.290000,False,28.440000,28.780000,reg,1506495
PPC,2017-09-21,28.590000,28.980000,False,28.140100,28.930000,reg,1071480
PPC,2017-09-22,28.670000,28.980000,False,28.290000,28.490000,reg,1245387
PPC,2017-09-25,28.820000,29.310000,False,28.600000,28.750000,reg,2177109
PPC,2017-09-26,28.760000,29.070000,False,28.581000,28.810000,reg,1256548
PPC,2017-09-27,28.720000,28.960000,False,28.430000,28.730000,reg,1167312
PPC,2017-09-28,28.410000,28.770000,False,27.675000,28.710000,reg,1619181
PPC,2017-09-29,28.410000,28.890000,False,28.105000,28.790000,reg,1826917
PPC,2017-10-02,29.650000,29.680000,False,28.590000,28.590000,reg,1746435
PPC,2017-10-03,28.790000,29.650000,False,28.740000,29.610000,reg,1107993
PPC,2017-10-04,29.770000,29.990000,False,28.470000,28.650000,reg,2259933
PPC,2017-10-05,29.150000,30.000000,False,29.080000,29.870000,reg,1214189
PPC,2017-10-06,28.750000,29.420000,False,28.180000,29.160000,reg,1608224
PPC,2017-10-09,28.970000,29.590000,False,28.760000,28.760000,reg,1263513
PPC,2017-10-10,28.900000,29.290000,False,28.560000,29.220000,reg,990543
PPC,2017-10-11,29.040000,29.130000,False,28.750000,28.840000,reg,920026
PPC,2017-10-12,29.330000,29.380000,False,28.970000,29.050000,reg,591834
PPC,2017-10-13,29.120000,29.450000,False,29.095000,29.410000,reg,639020
PPC,2017-10-16,29.330000,29.340000,False,28.760000,29.000000,reg,1471011
PPC,2017-10-17,29.640000,29.690000,False,29.210000,29.330000,reg,1034323
PPC,2017-10-18,30.570000,30.570000,False,29.660000,29.660000,reg,1590161
PPC,2017-10-19,30.490000,30.720000,False,29.950000,30.570000,reg,1227722
